protein_id	entry	complete8	n_common_runs	mean_lfq	mean_log2_psm	mean_log2_nsaf	mean_psm	log2_length_rel	length_method	length_n_precise_cells	length_max_abs_dev_precise	length_interval_low	length_interval_high	n_unique_peptides	log2_n_unique_peptides	n_shared_peptides	mbr_intensity_frac_mean	shared_psm_frac	log2_shared_psm_inflation	resid_log2_psm	resid_log2_nsaf
psvid_49540_sp|P49746|TSP3_HUMAN	TSP3_HUMAN	False	3	21.6623	0	-17.4922	1	1.19429	precise	3	0.000632523			1	0	0	0	0	-0		
psvid_49579_sp|Q9NUT2|MITOS_HUMAN	MITOS_HUMAN	False	7	23.1875	1.89989	-15.1714	4.85714	0.814766	precise	7	0.00400424			8	3	1	0.513332	0.205882	0.332575		
psvid_49595_sp|P09601|HMOX1_HUMAN	HMOX1_HUMAN	True	8	25.7427	4.66302	-11.039	25.75	-0.536659	precise	8	0.00173218			15	3.90689	0	0.0304572	0	-0	0.213593	0.718853
psvid_49618_sp|Q13561|DCTN2_HUMAN	DCTN2_HUMAN	False	2	19.4423	0	-16.2334	1	-0.0620001	precise	3	0.00358116			1	0	0	0	0	-0		
psvid_49645_sp|P07384|CAN1_HUMAN	CAN1_HUMAN	True	8	22.6554	2.0096	-15.0013	4.375	0.772368	precise	8	0.00119235			7	2.80735	0	0.0812499	0	-0	0.172235	-1.00781
psvid_49654_sp|Q00059|TFAM_HUMAN	TFAM_HUMAN	False	1	19.8812	0	-15.4591	1	-0.765853	precise	1	5.38458e-14			1	0	0	0	0	-0		
psvid_49665_sp|Q5VZE5|NAA35_HUMAN	NAA35_HUMAN	False	4	20.2349	0.896241	-16.1598	2	0.795731	precise	4	0.00498709			3	1.58496	0	0.121458	0	-0		
psvid_496_sp|P04259|K2C6B_HUMAN	K2C6B_HUMAN	False	0					0.432906	precise	7	0.00432638			0		6		1			
psvid_49726_sp|P21964|COMT_HUMAN	COMT_HUMAN	True	8	27.2879	5.13867	-10.537	37.125	-0.624509	precise	6	0.00104351			21	4.39232	0	0.0466517	0	-0	-0.43895	0.0673714
psvid_49740_sp|P13929|ENOB_HUMAN	ENOB_HUMAN	True	8	20.9734	2.49796	-13.796	5.875	0.0551784	precise	8	0.00272127			3	1.58496	2	0.375	0.808511	2.38466	1.54726	0.612238
psvid_49809_sp|P09960|LKHA4_HUMAN	LKHA4_HUMAN	True	8	19.8212	1.21936	-15.5665	2.5	0.547677	precise	8	0.00251761			3	1.58496	0	0.192642	0	-0	0.739639	-1.06757
psvid_49819_sp|Q9ULC5|ACSL5_HUMAN	ACSL5_HUMAN	True	8	29.855	7.10786	-9.90178	141.375	0.709043	precise	3	0.000501754			47	5.55459	3	0.0249294	0.0583554	0.0867455	-0.544359	-0.923659
psvid_49823_sp|Q9UKU0|ACSL6_HUMAN	ACSL6_HUMAN	False	6	21.6891	2.95915	-14.0072	8	0.738494	precise	8	0.00100206			4	2	4	0.236951	0.816667	2.44746		
psvid_49839_sp|P08246|ELNE_HUMAN	ELNE_HUMAN	True	8	22.8477	1.48836	-14.1045	3.5	-0.646325	precise	8	0.00445467			5	2.32193	0	0.328278	0	-0	-0.490323	-0.246545
psvid_49843_sp|Q2M389|WASC4_HUMAN	WASC4_HUMAN	False	6	22.9187	2.3832	-15.3564	5.5	1.48899	precise	6	0.00237214			8	3	0	0.127652	0	-0		
psvid_49848_sp|Q9Y282|ERGI3_HUMAN	ERGI3_HUMAN	True	8	23.9295	3.32863	-12.7855	10.5	-0.124231	precise	8	0.0056388			11	3.45943	0	0.133238	0	-0	0.386214	0.311893
psvid_49852_sp|Q9NQ29|LUC7L_HUMAN	LUC7L_HUMAN	False	0					-0.171439	precise	6	0.00377159			0		2		1			
psvid_49860_sp|O95782|AP2A1_HUMAN	AP2A1_HUMAN	True	8	25.3634	4.75049	-12.714	27.75	1.22517	precise	8	0.00501694			21	4.39232	9	0.208394	0.387387	0.706953	0.609823	-0.639552
psvid_49869_sp|O00151|PDLI1_HUMAN	PDLI1_HUMAN	False	6	21.3424	0.5	-15.3828	1.5	-0.345692	precise	6	0.00281972			3	1.58496	0	0.236208	0	-0		
psvid_49876_sp|Q8WU68|U2AF4_HUMAN	U2AF4_HUMAN	False	0					-0.926629	precise	2	0.000996062			0		1		1			
psvid_49880_sp|Q9HAS0|NJMU_HUMAN	NJMU_HUMAN	False	4	20.8414	0	-16.111	1	-0.0754223	precise	5	0.00665407			1	0	0	0	0	-0		
psvid_49891_sp|Q2VPB7|AP5B1_HUMAN	AP5B1_HUMAN	False	2	16.2401	0	-17.3831	1	1.07123	precise	2	0.000425356			1	0	0	0	0	-0		
psvid_49917_sp|Q8NBN3|GPHCC_HUMAN	GPHCC_HUMAN	True	8	20.9519	0.896241	-15.7523	2.125	0.409598	precise	8	0.0030705			2	1	0	0.116389	0	-0	-0.0453255	-1.34135
psvid_49921_sp|Q9NUN5|LMBD1_HUMAN	LMBD1_HUMAN	False	7	21.6275	1.10784	-15.4922	2.28571	0.371102	precise	7	0.00209975			1	0	0	0	0	-0		
psvid_49941_sp|P63092|GNAS2_HUMAN	GNAS2_HUMAN	False	0					-0.0847313	precise	8	0.00391769			0		17		1			
psvid_49957_sp|Q92597|NDRG1_HUMAN	NDRG1_HUMAN	True	8	23.5865	2.2882	-13.8652	5.25	-0.0853305	precise	8	0.00237007			7	2.80735	0	0.259067	0	-0	-0.33495	-0.521902
psvid_49958_sp|P51991|ROA3_HUMAN	ROA3_HUMAN	True	8	25.7359	4.30857	-11.7855	21	-0.144296	precise	8	0.00219754			16	4	1	0.0321923	0.0297619	0.0435893	-0.1353	-0.0214049
psvid_49988_sp|Q8WW22|DNJA4_HUMAN	DNJA4_HUMAN	False	0					-0.0726849	precise	2	0.000903813			0		0		0	-0		
psvid_49997_sp|Q5VT66|MARC1_HUMAN	MARC1_HUMAN	True	8	24.7176	3.42862	-12.5007	10.875	-0.309309	precise	8	0.00202035			9	3.16993	2	0.0703508	0.206897	0.334419	-0.160549	0.0458306
psvid_49999_sp|P11168|GTR2_HUMAN	GTR2_HUMAN	True	8	24.1012	4.20923	-12.3544	18.875	0.324174	precise	8	0.0026136			12	3.58496	0	0.0149428	0	-0	1.1277	0.624113
psvid_50012_sp|Q9BQC6|RT63_HUMAN	RT63_HUMAN	False	3	20.0666	0.333333	-13.9161	1.33333	-2.03354	precise	3	0.00263128			1	0	0	0	0	-0		
psvid_50022_sp|P09104|ENOG_HUMAN	ENOG_HUMAN	True	8	24.2308	2.89992	-13.3944	7.75	0.054938	precise	8	0.00373262			1	0	2	0	0.612903	1.36923	-0.283767	-0.512964
psvid_50070_sp|Q99807|COQ7_HUMAN	COQ7_HUMAN	False	7	21.8095	0.986699	-14.3084	2.28571	-0.945166	precise	7	0.00270582			3	1.58496	0	0.294684	0	-0		
psvid_50098_sp|O43819|SCO2_HUMAN	SCO2_HUMAN	True	8	22.2562	1.72672	-13.8604	3.875	-0.651529	precise	8	0.00640838			5	2.32193	0	0.197311	0	-0	0.160244	0.353386
psvid_50116_sp|P22392|NDKB_HUMAN	NDKB_HUMAN	True	8	23.3017	3.44805	-11.3318	11	-1.45889	precise	8	0.00148951			6	2.58496	3	0.202675	0.602273	1.33015	1.10011	2.2109
psvid_50152_sp|O76054|S14L2_HUMAN	S14L2_HUMAN	True	8	24.7245	3.66006	-12.5265	13.25	-0.052284	precise	8	0.00462419			12	3.58496	2	0.185192	0.103774	0.158065	0.0648464	0.0149036
psvid_50160_sp|P08133|ANXA6_HUMAN	ANXA6_HUMAN	True	8	29.4491	7.39202	-9.37959	172.5	0.687935	precise	2	4.63253e-05			65	6.02237	0	0.0131551	0	-0	0.0977125	-0.114661
psvid_50162_sp|Q9H2M3|BHMT2_HUMAN	BHMT2_HUMAN	True	8	23.6628	4.16517	-11.8706	18.375	-0.203093	precise	8	0.0028374			9	3.16993	4	0.142923	0.52381	1.07039	1.46777	1.41497
psvid_50176_sp|Q9UJS0|S2513_HUMAN	S2513_HUMAN	True	8	28.2916	6.53129	-10.3996	93.5	0.69206	precise	8	0.00102164			34	5.08746	12	0.0306891	0.149733	0.234012	0.220335	-0.368753
psvid_50204_sp|O60488|ACSL4_HUMAN	ACSL4_HUMAN	True	8	24.6379	3.46537	-13.5396	15.75	0.766379	precise	8	0.00133105			23	4.52356	2	0.433175	0.285714	0.485427	-0.0538576	-0.934944
psvid_50212_sp|Q6Y7W6|GGYF2_HUMAN	GGYF2_HUMAN	False	2	19.855	0	-17.783	1	1.63638	precise	2	0.000151068			1	0	0	0	0	-0		
psvid_50259_sp|Q8IZP2|ST134_HUMAN	ST134_HUMAN	False	0					-0.799022	precise	8	0.00481601			0		4		1			
psvid_50272_sp|Q9BZE1|RM37_HUMAN	RM37_HUMAN	False	4	21.4783	0.25	-16.0897	1.25	0.0173515	precise	4	0.00114327			3	1.58496	0	0	0	-0		
psvid_50297_sp|Q9BZE4|GTPB4_HUMAN	GTPB4_HUMAN	False	2	20.6046	0.5	-16.4762	1.5	0.602127	precise	2	0.000365153			2	1	0	0	0	-0		
psvid_50327_sp|P17568|NDUB7_HUMAN	NDUB7_HUMAN	True	8	23.3689	1.59436	-13.0353	3.375	-1.60933	precise	8	0.00611109			4	2	0	0.331622	0	-0	-0.81497	0.462372
psvid_50366_sp|P35858|ALS_HUMAN	ALS_HUMAN	False	5	20.6665	0.516993	-16.2945	1.6	0.533644	precise	5	0.00217691			3	1.58496	0	0.276088	0	-0		
psvid_50375_sp|Q9UKM9|RALY_HUMAN	RALY_HUMAN	False	6	22.8087	2.42704	-13.3746	5.83333	-0.449112	precise	6	0.00452035			4	2	1	0.0836597	0.0857143	0.129283		
psvid_50381_sp|P50579|MAP2_HUMAN	MAP2_HUMAN	True	8	24.2633	4.06816	-12.3642	18.125	0.193665	precise	8	0.00261463			14	3.80735	0	0.125323	0	-0	0.859325	0.492408
psvid_50388_sp|P01011|AACT_HUMAN	AACT_HUMAN	True	8	28.057	6.04056	-10.2159	66.375	0.01767	precise	8	0.000909153			26	4.70044	0	0.0495321	0	-0	-0.0905474	-0.0566308
psvid_50395_sp|Q9P0J0|NDUAD_HUMAN	NDUAD_HUMAN	True	8	24.8371	3.05181	-11.6499	8.625	-1.53719	precise	8	0.00174251			6	2.58496	0	0.0688608	0	-0	-0.639497	0.807256
psvid_50397_sp|Q92901|RL3L_HUMAN	RL3L_HUMAN	False	2	20.2533	2.19616	-13.9763	5	-0.0385491	precise	8	0.00239941			1	0	4	0.5	0.921053	3.66297		
psvid_50416_sp|P67936|TPM4_HUMAN	TPM4_HUMAN	False	6	22.0784	3.04786	-12.4502	9.5	-0.753116	precise	8	0.00407594			6	2.58496	4	0.270474	0.576271	1.23879		
psvid_50423_sp|P09493|TPM1_HUMAN	TPM1_HUMAN	False	6	21.1046	1.87147	-13.8028	4.16667	-0.556691	precise	8	0.00622728			1	0	4	0	0.8125	2.41504		
psvid_50459_sp|P49585|PCY1A_HUMAN	PCY1A_HUMAN	True	8	23.5189	3.18294	-12.8692	10.625	-0.186667	precise	8	0.00432989			8	3	3	0.151969	0.470588	0.917538	0.626887	0.524501
psvid_50480_sp|Q66K74|MAP1S_HUMAN	MAP1S_HUMAN	False	2	18.8821	0.792481	-16.8203	2	1.34173	precise	3	0.000451225			1	0	0	0	0	-0		
psvid_5048_sp|Q9Y2Q5|LTOR2_HUMAN	LTOR2_HUMAN	False	6	22.2437	1.24864	-13.279	3	-1.74162	precise	6	0.00163401			4	2	0	0.239336	0	-0		
psvid_50498_sp|Q9NUQ2|PLCE_HUMAN	PLCE_HUMAN	False	6	22.8907	1.36165	-14.7032	2.83333	-0.199244	precise	6	0.0040773			5	2.32193	0	0.254739	0	-0		
psvid_50504_sp|P34897|GLYM_HUMAN	GLYM_HUMAN	True	8	26.0763	4.72062	-11.788	29.375	0.270204	precise	8	0.0035733			22	4.45943	1	0.078605	0.0765957	0.114966	-0.0057951	-0.329185
psvid_50505_sp|Q96TA2|YMEL1_HUMAN	YMEL1_HUMAN	False	2	21.2155	1.29248	-15.7996	2.5	0.887331	precise	3	0.00513503			2	1	0	0.29694	0	-0		
psvid_50511_sp|Q9UPV0|CE164_HUMAN	CE164_HUMAN	False	3	21.306	0	-18.0619	1	1.80549	precise	4	0.00152187			1	0	0	0	0	-0		
psvid_50514_sp|Q8N6M3|FITM2_HUMAN	FITM2_HUMAN	True	8	21.3337	1.7596	-13.8063	3.5	-0.673427	precise	8	0.00374424			3	1.58496	0	0.0725885	0	-0	0.653694	0.554234
psvid_50518_sp|Q6ZNB7|ALKMO_HUMAN	ALKMO_HUMAN	True	8	21.9809	1.23836	-15.0908	3	0.0906442	precise	8	0.00459551			4	2	0	0.164712	0	-0	-0.175479	-0.800431
psvid_50536_sp|Q9P015|RM15_HUMAN	RM15_HUMAN	False	7	21.0447	0.797852	-14.946	1.85714	-0.496534	precise	7	0.00186423			3	1.58496	0	0.185938	0	-0		
psvid_50545_sp|P57721|PCBP3_HUMAN	PCBP3_HUMAN	False	0					-0.171292	precise	8	0.004957			0		5		0.978261	5.52356		
psvid_50573_sp|Q8IXJ6|SIR2_HUMAN	SIR2_HUMAN	False	5	19.8752	0.4	-15.7624	1.4	-0.102689	precise	5	0.00422869			2	1	0	0.0871189	0	-0		
psvid_50621_sp|O75110|ATP9A_HUMAN	ATP9A_HUMAN	False	0					1.32578	precise	4	0.00183626			0		1		1			
psvid_50631_sp|O15523|DDX3Y_HUMAN	DDX3Y_HUMAN	False	0					0.659038	precise	8	0.00600633			0		13		1			
psvid_50662_sp|O14737|PDCD5_HUMAN	PDCD5_HUMAN	False	2	18.3402	0	-14.4052	1	-1.74137	precise	2	0.000542877			1	0	0	0	0	-0		
psvid_50681_sp|Q8NCC3|PAG15_HUMAN	PAG15_HUMAN	False	4	18.8931	0	-16.2575	1	-0.0188387	precise	5	0.0037507			1	0	0	0	0	-0		
psvid_50686_sp|P41091|IF2G_HUMAN	IF2G_HUMAN	True	8	24.0591	4.87452	-11.54	29.875	0.175875	precise	8	0.00222627			3	1.58496	16	0	0.748954	1.99398	1.82669	1.46944
psvid_50687_sp|Q2VIR3|IF2GL_HUMAN	IF2GL_HUMAN	False	0					0.174731	precise	8	0.00403061			0		16		1			
psvid_50692_sp|Q9NP80|PLPL8_HUMAN	PLPL8_HUMAN	False	5	20.0743	0.833985	-16.3576	2	0.904193	precise	6	0.00228961			2	1	0	0.158032	0	-0		
psvid_50696_sp|O60306|AQR_HUMAN	AQR_HUMAN	False	1	20.8531	0	-18.145	1	1.82771	precise	1	5.38458e-14			1	0	0	0	0	-0		
psvid_50729_sp|O75439|MPPB_HUMAN	MPPB_HUMAN	False	0					0.226832	precise	8	0.00562392			0		1		1			
psvid_50739_sp|Q9NYF8|BCLF1_HUMAN	BCLF1_HUMAN	False	4	19.8387	0	-17.2937	1	1.13881	precise	4	0.00113653			1	0	0	0	0	-0		
psvid_50751_sp|P19801|AOC1_HUMAN	AOC1_HUMAN	False	1	20.0751	1.58496	-15.408	3	0.847221	precise	1	5.38458e-14			1	0	0	0	0	-0		
psvid_50754_sp|Q12770|SCAP_HUMAN	SCAP_HUMAN	False	6	21.8532	0.333333	-17.5235	1.33333	1.6141	precise	6	0.00115666			4	2	0	0.368961	0	-0		
psvid_50763_sp|O75027|ABCB7_HUMAN	ABCB7_HUMAN	True	8	23.88	2.21428	-14.8727	5.75	0.848615	precise	8	0.00296146			9	3.16993	0	0.206978	0	-0	-0.685033	-1.74265
psvid_50788_sp|Q9H444|CHM4B_HUMAN	CHM4B_HUMAN	True	8	23.3799	2.4212	-12.9172	5.75	-0.90025	precise	8	0.00282383			5	2.32193	1	0.169342	0.0869565	0.131245	0.00154376	0.573142
psvid_50789_sp|P59074|CHM4P_HUMAN	CHM4P_HUMAN	False	0					-1.28938	precise	4	0.00270405			0		1		1			
psvid_50834_sp|Q16706|MA2A1_HUMAN	MA2A1_HUMAN	True	8	24.9356	4.1365	-13.556	20	1.45351	precise	8	0.00428507			23	4.52356	0	0.101024	0	-0	0.362491	-1.17196
psvid_50850_sp|P32754|HPPD_HUMAN	HPPD_HUMAN	True	8	26.1165	4.62455	-11.526	24.875	-0.0878777	precise	8	0.00236433			19	4.24793	0	0.0668334	0	-0	-0.135206	-0.102084
psvid_50866_sp|P00738|HPT_HUMAN	HPT_HUMAN	True	8	31.1467	9.03788	-7.18447	554.375	-0.0356665	interval	0		-0.0542699	-0.0170631	23	4.52356	20	0.000128556	0.27779	0.46951	0.244746	0.892837
psvid_50894_sp|Q96C01|TIMCC_HUMAN	TIMCC_HUMAN	False	4	23.0957	1.70184	-12.9487	4	-1.5973	precise	4	0.00231552			6	2.58496	0	0.301991	0	-0		
psvid_50923_sp|Q15008|PSMD6_HUMAN	PSMD6_HUMAN	True	8	21.9042	1.36336	-14.773	2.75	-0.102596	precise	8	0.00212009			6	2.58496	0	0.182917	0	-0	-0.0114357	-0.469856
psvid_50926_sp|Q9NP59|S40A1_HUMAN	S40A1_HUMAN	False	4	19.6981	0	-16.7622	1	0.450563	precise	4	0.000316096			1	0	0	0	0	-0		
psvid_50969_sp|Q8NBM4|UBAC2_HUMAN	UBAC2_HUMAN	False	7	22.6328	1.16713	-14.8047	2.57143	-0.28018	precise	7	0.00209137			6	2.58496	0	0.446704	0	-0		
psvid_50975_sp|Q3LXA3|TKFC_HUMAN	TKFC_HUMAN	True	8	26.8342	5.54985	-11.1499	47.875	0.460806	precise	8	0.00139803			26	4.70044	0	0.085526	0	-0	0.266872	-0.274842
psvid_50981_sp|Q15041|AR6P1_HUMAN	AR6P1_HUMAN	True	8	24.2487	4.96646	-10.2394	31.875	-1.04205	precise	7	0.0012254			5	2.32193	0	0.00666258	0	-0	1.76891	2.62831
psvid_51004_sp|Q16891|MIC60_HUMAN	MIC60_HUMAN	True	8	26.6896	5.53231	-11.566	47.75	0.859449	precise	8	0.00169682			38	5.24793	0	0.125989	0	-0	0.347517	-0.595923
psvid_51087_sp|Q96ND0|MIMS1_HUMAN	MIMS1_HUMAN	False	1	18.3006	1	-14.6874	2	-0.621112	precise	3	0.00200366			1	0	0	0	0	-0		
psvid_51096_sp|O14786|NRP1_HUMAN	NRP1_HUMAN	False	6	21.7476	0.861654	-16.4765	2	1.14475	precise	7	0.00293798			4	2	0	0.227866	0	-0		
psvid_51119_sp|Q9UBB4|ATX10_HUMAN	ATX10_HUMAN	False	1	19.4714	0	-16.6271	1	0.185507	precise	1	3.9635e-14			1	0	0	0	0	-0		
psvid_51126_sp|Q16878|CDO1_HUMAN	CDO1_HUMAN	False	0					-1.06278	precise	8	0.0017863			0		1		1			
psvid_51143_sp|Q16772|GSTA3_HUMAN	GSTA3_HUMAN	False	0					-0.912441	precise	8	0.000807607			0		6		1			
psvid_51144_sp|Q2M3C7|SPKAP_HUMAN	SPKAP_HUMAN	False	4	24.7673	1.43872	-16.7708	2.75	2.02428	precise	8	0.00399366			1	0	0	0	0	-0		
psvid_51167_sp|P35232|PHB1_HUMAN	PHB1_HUMAN	True	8	28.4563	5.52709	-10.1013	46.625	-0.61976	precise	6	0.00128982			18	4.16993	0	0	0	-0	-0.912145	-0.162372
psvid_51181_sp|Q9HCU5|SEC12_HUMAN	SEC12_HUMAN	True	8	25.7915	4.49371	-11.741	22.875	-0.00455609	precise	8	0.00267698			15	3.90689	0	0.0917906	0	-0	0.00455544	-0.0276196
psvid_51186_sp|Q10588|BST1_HUMAN	BST1_HUMAN	False	2	19.1174	0	-15.9788	1	-0.395206	precise	2	0.00230157			1	0	0	0.5	0	-0		
psvid_51203_sp|Q9BWW8|APOL6_HUMAN	APOL6_HUMAN	False	0					-0.282938	precise	1	5.38458e-14			0		0		0	-0		
psvid_51216_sp|Q86U06|RBM23_HUMAN	RBM23_HUMAN	False	0					0.071583	precise	3	0.00457532			0		1		1			
psvid_51224_sp|P68366|TBA4A_HUMAN	TBA4A_HUMAN	True	8	25.8997	7.1218	-9.21578	140.375	0.113751	interval	0		0.0594132	0.16809	7	2.80735	27	0.034396	0.912734	3.51843	2.54279	2.39887
psvid_51227_sp|Q32P28|P3H1_HUMAN	P3H1_HUMAN	True	8	23.0062	2.5748	-14.4807	6.25	0.816735	precise	8	0.00176838			7	2.80735	0	0.122518	0	-0	0.476847	-0.731556
psvid_51235_sp|Q13367|AP3B2_HUMAN	AP3B2_HUMAN	False	0					1.37246	precise	7	0.00159394			0		1		1			
psvid_51262_sp|P24298|ALAT1_HUMAN	ALAT1_HUMAN	False	7	23.2298	2.7813	-13.7184	7.71429	0.246506	precise	7	0.00647265			8	3	1	0.186779	0.0185185	0.026967		
psvid_51295_sp|Q9NX95|SYBU_HUMAN	SYBU_HUMAN	False	0					0.662199	precise	1	3.9635e-14			0		0		0	-0		
psvid_51310_sp|P20851|C4BPB_HUMAN	C4BPB_HUMAN	True	8	23.567	2.59604	-12.9123	6.375	-0.729759	precise	8	0.00522067			5	2.32193	0	0.159402	0	-0	-0.00794585	0.445702
psvid_51319_sp|Q8IY95|TM192_HUMAN	TM192_HUMAN	True	8	23.0227	2.17028	-13.444	5.625	-0.62408	precise	8	0.0051372			7	2.80735	0	0.168519	0	-0	0.0597107	0.294072
psvid_51350_sp|Q9Y3U8|RL36_HUMAN	RL36_HUMAN	True	8	25.7394	3.57254	-10.6735	12.125	-1.99314	precise	8	0.00202719			6	2.58496	0	0.00607004	0	-0	-0.874176	1.08746
psvid_51353_sp|P07864|LDHC_HUMAN	LDHC_HUMAN	False	0					-0.330556	precise	5	0.00295075			0		1		1			
psvid_51381_sp|Q9UII2|ATIF1_HUMAN	ATIF1_HUMAN	False	6	22.9225	0.333333	-13.9383	1.33333	-1.97917	precise	6	0.00101567			1	0	0	0	0	-0		
psvid_51383_sp|Q9Y646|CBPQ_HUMAN	CBPQ_HUMAN	False	2	19.1229	0	-16.4107	1	0.179177	precise	2	0.00216591			1	0	0	0	0	-0		
psvid_51427_sp|Q8N8Y2|VA0D2_HUMAN	VA0D2_HUMAN	False	0					-0.254143	precise	1	3.9635e-14			0		1		1			
psvid_51447_sp|P24539|AT5F1_HUMAN	AT5F1_HUMAN	True	8	26.9692	5.24104	-10.3005	38.375	-0.70707	precise	7	0.0011622			18	4.16993	0	0.0214372	0	-0	-0.129989	0.494154
psvid_51449_sp|O75718|CRTAP_HUMAN	CRTAP_HUMAN	False	5	22.2587	1	-15.1521	2.4	-0.0588996	precise	7	0.00538211			5	2.32193	0	0.421785	0	-0		
psvid_51451_sp|Q9H2M9|RBGPR_HUMAN	RBGPR_HUMAN	False	6	22.14	1.15115	-16.8373	2.5	1.73738	precise	6	0.004877			4	2	0	0.0480079	0	-0		
psvid_51475_sp|O94826|TOM70_HUMAN	TOM70_HUMAN	True	8	26.7945	5.31684	-11.4642	41.625	0.542466	precise	8	0.00187337			31	4.9542	0	0.112836	0	-0	0.0603424	-0.564704
psvid_51504_sp|Q9UBU6|FA8A1_HUMAN	FA8A1_HUMAN	True	8	23.5911	3.93573	-12.2882	15.375	-0.0138968	precise	8	0.00493548			9	3.16993	0	0.00351453	0	-0	1.308	1.05161
psvid_51506_sp|Q16186|ADRM1_HUMAN	ADRM1_HUMAN	False	6	19.5715	0.5	-15.7128	1.5	-0.0374186	precise	6	0.00458027			1	0	0	0	0	-0		
psvid_51518_sp|P06730|IF4E_HUMAN	IF4E_HUMAN	False	3	20.2945	0.528321	-14.8146	1.66667	-0.944477	precise	3	0.00339542			1	0	0	0	0	-0		
psvid_51529_sp|Q9HC38|GLOD4_HUMAN	GLOD4_HUMAN	False	4	21.4756	0.25	-15.6366	1.25	-0.415814	precise	5	0.00356294			3	1.58496	0	0.548901	0	-0		
psvid_51601_sp|O75366|AVIL_HUMAN	AVIL_HUMAN	False	0					0.971791	precise	2	3.07036e-05			0		1		1			
psvid_51607_sp|Q15121|PEA15_HUMAN	PEA15_HUMAN	False	0					-1.68391	precise	1	3.9635e-14			0		0		0	-0		
psvid_51617_sp|Q9BYZ2|LDH6B_HUMAN	LDH6B_HUMAN	False	0					-0.132917	precise	8	0.00250864			0		1		1			
psvid_51622_sp|Q6ZMR3|LDH6A_HUMAN	LDH6A_HUMAN	False	0					-0.330556	precise	5	0.00295075			0		1		1			
psvid_51626_sp|P00338|LDHA_HUMAN	LDHA_HUMAN	True	8	26.2345	5.13269	-10.7744	35.25	-0.331971	precise	8	0.00157006			21	4.39232	2	0.162431	0.109929	0.168008	0.277086	0.548356
psvid_51655_sp|O60812|HNRC1_HUMAN	HNRC1_HUMAN	False	0					-0.51263	precise	8	0.00283369			0		7		1			
psvid_51657_sp|P07910|HNRPC_HUMAN	HNRPC_HUMAN	True	8	25.1929	4.06754	-11.7222	19.125	-0.449219	precise	8	0.00206326			5	2.32193	7	0.00552994	0.477124	0.93546	0.073668	0.475509
psvid_51659_sp|P06239|LCK_HUMAN	LCK_HUMAN	False	0					0.280717	precise	4	0.00801719			0		1		1			
psvid_51688_sp|O60346|PHLP1_HUMAN	PHLP1_HUMAN	False	1	16.3848	2	-16.4853	4	2.04138	precise	2	0.00238583			1	0	0	0	0	-0		
psvid_51691_sp|P12821|ACE_HUMAN	ACE_HUMAN	False	3	21.8958	1.96896	-15.9987	4.33333	1.64316	precise	3	0.00169415			4	2	0	0	0	-0		
psvid_51700_sp|O43681|GET3_HUMAN	GET3_HUMAN	True	8	24.3173	2.89712	-13.0787	7.5	-0.263561	precise	8	0.00496762			8	3	0	0.199012	0	-0	-0.353619	-0.262368
psvid_51710_sp|Q9C0K3|ARP3C_HUMAN	ARP3C_HUMAN	False	0					-0.991689	precise	8	0.00372014			0		1		1			
psvid_51713_sp|Q9Y2P4|S27A6_HUMAN	S27A6_HUMAN	False	0					0.567407	precise	8	0.00416526			0		1		1			
psvid_51717_sp|Q96S21|RB40C_HUMAN	RB40C_HUMAN	False	4	19.2335	0	-15.691	1	-0.571661	precise	4	0.00323185			1	0	0	0	0	-0		
psvid_51733_sp|Q9BQ95|ECSIT_HUMAN	ECSIT_HUMAN	False	5	22.6914	1.83399	-14.4769	4.2	0.0444688	precise	5	0.00173344			6	2.58496	0	0.146637	0	-0		
psvid_51775_sp|Q14254|FLOT2_HUMAN	FLOT2_HUMAN	True	8	24.5926	3.91972	-12.3538	15.5	0.0348134	precise	8	0.00482676			15	3.90689	0	0.113565	0	-0	0.440443	0.282401
psvid_51780_sp|O95837|GNA14_HUMAN	GNA14_HUMAN	False	0					-0.235178	precise	7	0.00218905			0		3		1			
psvid_51781_sp|P29992|GNA11_HUMAN	GNA11_HUMAN	False	7	23.1064	2.7978	-13.2356	7.71429	-0.21941	precise	8	0.00547972			5	2.32193	5	0.225916	0.418182	0.78136		
psvid_51782_sp|P50148|GNAQ_HUMAN	GNAQ_HUMAN	True	8	22.3015	2.06884	-13.9493	5	-0.219622	precise	8	0.00460582			4	2	4	0.16348	0.4	0.736966	0.474085	0.244234
psvid_51784_sp|Q9NQG1|MANBL_HUMAN	MANBL_HUMAN	False	3	19.2647	0.528321	-13.385	1.66667	-2.29739	precise	5	0.000919363			1	0	0	0	0	-0		
psvid_51790_sp|P00558|PGK1_HUMAN	PGK1_HUMAN	True	8	25.976	5.0838	-11.152	34.375	-0.00301117	precise	8	0.00146215			20	4.32193	6	0.0555315	0.127273	0.196397	0.4411	0.394816
psvid_517915_sp|O15432|COPT2_HUMAN	COPT2_HUMAN	False	1	22.2247	0	-14.6798	1	-1.54555	precise	2	0.000463374			1	0	0	0	0	-0		
psvid_51808_sp|Q6ZRY4|RBPS2_HUMAN	RBPS2_HUMAN	False	0					-1.00184	precise	1	3.9635e-14			0		1		1			
psvid_51814_sp|P02790|HEMO_HUMAN	HEMO_HUMAN	True	8	26.8357	5.3567	-11.0273	41.5	0.14505	precise	8	0.00171329			18	4.16993	0	0.0130538	0	-0	0.0727259	-0.153177
